№	R1	R4	R10	R24	R33	R50	R75	R100
1	1.51127	3.89113	9.84878	24.54779	32.65855	49.58972	75.02227	99.81190
2	1.50998	3.89116	9.84902	24.54781	32.65837	49.58908	75.02204	99.81192
3	1.51281	3.89058	9.84965	24.54823	32.65798	49.58829	75.02159	99.81332
4	1.51095	3.89087	9.84975	24.54840	32.65866	49.58836	75.02251	99.81179
5	1.51169	3.89133	9.84989	24.54864	32.65915	49.58764	75.02241	99.81280
6	1.51119	3.89117	9.85015	24.54851	32.65957	49.58747	75.02172	99.81441
7	1.51148	3.89103	9.85035	24.54859	32.65959	49.58748	75.02289	99.81350
8	1.51149	3.89205	9.85058	24.54922	32.66013	49.58746	75.02178	99.81501
9	1.51063	3.89187	9.85159	24.54851	32.65952	49.58703	75.02183	99.81482
10	1.51192	3.89221	9.85176	24.54900	32.65983	49.58588	75.02159	99.81262

